Designator,MPN/Seeed SKU,Qty
C1,100u,1
C2,100u,1
D1,MMSZ5237B-7-F,1
D2,MMSZ5237B-7-F,1
D3,MMSZ5237B-7-F,1
D4,MMSZ5237B-7-F,1
D5,MMSZ5237B-7-F,1
D6,MMSZ5237B-7-F,1
D7,MMSZ5237B-7-F,1
D8,MMSZ5237B-7-F,1
D9,FM4004-W,1
D10,FM4004-W,1
D11,FM4004-W,1
D12,FM4004-W,1
D13,FM4004-W,1
D14,FM4004-W,1
D15,FM4004-W,1
D16,FM4004-W,1
D17,green,1
D18,green,1
D19,green,1
D20,green,1
D21,green,1
D22,green,1
D23,green,1
D24,green,1
D25,1N5819HW-7-F,1
J1,Jack-DC,1
Q1,TSM3404,1
Q2,TSM3404,1
Q3,TSM3404,1
Q4,TSM3404,1
Q5,TSM3404,1
Q6,TSM3404,1
Q7,TSM3404,1
Q8,TSM3404,1
R1,1k5,1
R2,1k5,1
R3,1k5,1
R4,1k5,1
R5,1k5,1
R6,1k5,1
R7,1k5,1
R8,1k5,1
R9,18k,1
R10,18k,1
R11,18k,1
R12,18k,1
R13,18k,1
R14,18k,1
R15,18k,1
R16,18k,1
R17,4k7,1
R18,4k7,1
R19,4k7,1
R20,4k7,1
R21,4k7,1
R22,4k7,1
R23,4k7,1
R24,4k7,1
U1,VO615A-3,1
U2,VO615A-3,1
U3,VO615A-3,1
U4,VO615A-3,1
U5,VO615A-3,1
U6,VO615A-3,1
U7,VO615A-3,1
U8,VO615A-3,1
,,
,,
,,
,,
,,
Reference(s),Value,Qty
"C1, C2",100u,2
"D1, D2, D3, D4, D5, D6, D7, D8",MMSZ5237B-7-F,8
"D9, D10, D11, D12, D13, D14, D15, D16",FM4004-W,8
"D17, D18, D19, D20, D21, D22, D23, D24",green,8
D25,1N5819HW-7-F,1
J1,Jack-DC,1
"Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8",TSM3404,8
"R1, R2, R3, R4, R5, R6, R7, R8",1k5,8
"R9, R10, R11, R12, R13, R14, R15, R16",18k,8
"R17, R18, R19, R20, R21, R22, R23, R24",4k7,8
"U1, U2, U3, U4, U5, U6, U7, U8",VO615A-3,8
